epoch,accuracy,loss,val_accuracy,val_loss
0,0.9564999938011169,0.11181939393281937,0.9807999730110168,0.06151021644473076
1,0.9682999849319458,0.07902488857507706,0.9765999913215637,0.07058423012495041
2,0.9757500290870667,0.06126265972852707,0.982200026512146,0.052223797887563705
3,0.9778500199317932,0.05544967204332352,0.9805999994277954,0.053620610386133194
4,0.9823499917984009,0.046116650104522705,0.9801999926567078,0.04902525991201401
5,0.9855499863624573,0.03877640515565872,0.980400025844574,0.050788093358278275
6,0.9868500232696533,0.03387409821152687,0.9815999865531921,0.049244437366724014
7,0.9879999756813049,0.030657541006803513,0.9807999730110168,0.050540316849946976
8,0.9908999800682068,0.026435501873493195,0.9825999736785889,0.04883720353245735
9,0.9916499853134155,0.022585831582546234,0.9825999736785889,0.04921510070562363
